"M.A. Mayse, and P.W. Price. (1978). Seasonal Development of Soybean Arthropod Communities in East Central Illinois. Agro-Ecosystems, 4, pp. 387-405.",,,,,,,,,,,,,,
Soybean arthropods (12th week) East Central Illinois - USA,predatory mite,Orius insidiosus,Nabis spp.,spiders (unspecified),Aeolothrips sp.,syrphid larvae,parasitic Hymenoptera,Empoasca fabae,Sericothrips variabilis,other herbivorous thrips,black alate aphid,Platypena scabra,Colias eurytheme,Acrosternum hilare
Orius insidiosus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aeolothrips sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Empoasca fabae,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0
Sericothrips variabilis,1,1,0,0,1,1,0,0,0,0,0,0,0,0
other herbivorous thrips,1,1,0,0,1,0,0,0,0,0,0,0,0,0
black alate aphid,0,-1,0,1,0,-1,1,0,0,0,0,0,0,0
Platypena scabra,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0
Colias eurytheme,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0
Acrosternum hilare,0,0,1,0,0,0,1,0,0,0,0,0,0,0
soybean plant,0,1,1,0,0,0,0,1,1,1,1,1,1,1
