"C.O. Mohr. (1943). Cattle Droppings as Ecological Units. Ecological Monographs. 13(3), pp. 275-298.",,,,,,,,,,,,,,,,
Bovine dung insects (all seres) Illinois - USA,Haematobia irritans,Sarcophaga spp.,Paregle cinerella,Cryptolucilia ceasarion,Sepsis violacea,Leptocera sp.,Geosargus cuprarius,Aphodius fimetarius,Aphaereta muscae,Sphaeridium scarabaeoides,Xyalophora quinquelineata,Phaneropria sp.,Platystethus americanus,other staphylinids (unspec.),Sphaeridium bipustulatum,Hister abbreviatus
Haematobia irritans,0,0,0,0,0,0,0,0,-1,1,0,0,1,1,0,0
Sarcophaga spp.,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Paregle cinerella,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Cryptolucilia ceasarion,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Sepsis violacea,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0
Leptocera sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Geosargus cuprarius,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1
Aphodius fimetarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
dung,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
