"Brodeur, R.D., and Pearcy, W.G. (1992). Effects of environmental variability on trophic interactions and food web structure in a pelagic upwelling ecosystem. Marine Ecology Progress Series. 84, pp. 101-119.",,,,,,,,,,,,
Coastal upwelling pelagic zone off Oregon and Washington - 1982 - USA,Polychaetes (Tomopteris sp. - Pelagagobia sp.),Pteropods (Limacina helicina - Clionidae),Cephalopods (Loligo opalescens),Copepods (Neocalanus cristatus - N. plumchrus),Amphipods,Ephausiids,Decapods,Insects,Clupeids,Scorpaenids,Pleuronectids,Other fishes
Spiny dogfish,0,0,0.3,0,0,0.1,0,0,1,0,12.3,86.3
Pacific herring,0,0,0,0,4.1,95.5,0.4,0,0,0,0,0
Sockeye Salmon (juvenile),1.3,3.2,0,4.9,4.6,15.5,1.2,0,4.3,0,0,65
Chum salmon (juvenile),0,0,0,34.6,6.9,48.8,8.9,0,0,0,0,0
Coho salmon (juvenile),0.2,0.3,0,0.9,3.3,13.8,5.3,0.3,6.7,14.5,1,54.2
Coho salmon (adult),0,0.3,3.2,0,0.1,59.8,5.8,0,23.1,5.2,0,2.6
Chinook salmon (juvenile),0,0.2,0.5,0,0.1,9,3.1,0,23.4,23.9,2.5,37.2
Chinook salmon (adult),0,0.2,0.6,0,0,46.7,0.6,0,31.8,0.5,0,19.6
Cutthroat trout,0,0,0,0,0.1,1.3,0.4,0.3,1,13.2,0,83.8
Steelhead trout,0,0,0,0,2.6,61.7,1.2,0,2.8,4.6,0,27.1
Pacific hake,0,0,0,0,0.3,23.7,0.3,0,55.4,0.4,0,19.9
Jack mackerel,0,1,0,0,0.1,14.1,0,0,70.6,0.7,0,13.6
Black rockfish,0,0.2,0,0,0,74.4,10.4,0,0,1.7,2,11.3
