"Brodeur, R.D., and Pearcy, W.G. (1992). Effects of environmental variability on trophic interactions and food web structure in a pelagic upwelling ecosystem. Marine Ecology Progress Series. 84, pp. 101-119.",,,,,,,,,,,,,,
Coastal upwelling pelagic zone off Oregon and Washington - 1983 - USA,Ctenophores (Beroe sp.),Pteropods (Limacina helicina - Clionidae),Cephalopods (Loligo opalescens),Copepods (Neocalanus cristatus - N. plumchrus),Amphipods,Ephausiids,Decapods,Insects,Chaetognaths,Thaliacians,Clupeids,Scorpaenids,Pleuronectids,Other fishes
Spiny dogfish,0.4,0,0,0,0,2.3,0,0,0,0,19.3,0,31.2,46.8
Pacific herring,0,0,0,19.2,11.1,68.5,0,0,0,0,0,0,0,1.2
Chum salmon (juvenile),0.6,0,0,5.9,1.5,19,1.2,0.9,55.3,0,10.4,0.3,0,4.3
Coho salmon (juvenile),0,0.6,0,0.7,2,3,13.6,0.2,0,0.6,2.2,26.5,6.3,43.6
Coho salmon (adult),0.1,0.1,0,0,0,0.6,55.5,0,0,0,36,0,0.4,7.1
Chinook salmon (juvenile),0,1,0.7,0.5,0.2,1.1,10.4,0,0,0,0.9,20.7,26.6,38.7
Chinook salmon (adult),0.1,0.1,1.6,0,0,13.9,3.6,0,0,0,30.6,7.3,7.5,35
Cutthroat trout,0,0,0,0,0,0,3.7,0.3,0,0,2,45.7,0,48.3
Jack mackerel,0,1.3,0,0.6,3.8,90.8,3.1,0,0,0,0,0,0,0.4
Pacific mackerel,0,0,0,0.8,0.1,88.9,0.7,0,0,7.3,0,1.1,0.2,0.9
Black rockfish,13.3,0,0.1,0,0,3.3,18.1,0,0,0,41.9,0,0,23.1
Sablefish,0.3,0.7,0,0,6.7,5.5,3.9,0,0,76.1,0,0,0,6.7
