"Filgueira, R., and Castro, B.G. (2011). Study of the trophic web of San Simon Bay (R?a de Vigo) by using stable isotopes. Continental Shelf Research. 31, pp. 476-487.",,,,,,,,,,,,,,,,
San Simón Bay - Ría de Vigo - NW of Spain,Cerastoderma edule,Ruditapes decussatus,Mytilus galloprovincialis,Scrobicularia plana,Littorina littorea from rocks,Littorina littorea from Z. marina,Littorina obtusata,Gammarus sp. ,Palaemon adspersus,Arenicola marina,Nucella lapillus,Gobius niger,Symphodus bailloni,Sepia officinalis <67mm,Sepia officinalis 67-120mm,Sepia officinalis >120mm
Marine POM I,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine POM II,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Marine POM III,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrestrial POM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediment,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Microphytobenthos,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Ascophyllum nodosum,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
Enteromorpha intestinalis,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
Fucus vesiculosus,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
Ulva spp.,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Zostera marina,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
Littorina littorea from rocks,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Littorina littorea from Z. marina,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Littorina obtusata,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Cerastoderma edule,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mytilus galloprovincialis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Scrobicularia plana,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Ruditapes decussatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenicola marina,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Gobius niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nucella lapillus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Sepia officinalis <67mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepia officinalis 67-120mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepia officinalis >120mm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphodus bailloni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammarus sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Palaemon adspersus,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
