"G. M. Woodwell, ""Toxic Substances and Ecological Cycles', Scientific American, 216 (1967)",,,,,,,,,,,,,,,,,,,,
Salt marsh - Long Island USA,bay shrimp,silversides,mud snail,clam,mosquito,cricket,billfish,eel,fluke,blowfish,minnow 1,minnow 2,tern,Osprey,Green Heron,merganser,cormorant,gull,kingfisher,Red-winged Blackbird
organic debris,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
water plant,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
plankton,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
marsh plants,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bay shrimp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
silversides,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
mud snail,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
clam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
cricket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
billfish,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
eel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
fluke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
blowfish,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
minnow 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
minnow 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
