"Zetina-Rejon, M.J., Arreguin-Sanchez, F., and Chavez, E.A. (2003). Trophic structure and flows of energy in the Huizache-Caimanero lagoon complex on the Pacific coast of Mexico. Estuarine, Coastal and Shelf Science. 57, pp. 803-815.",,,,,,,,,,,,,,,,,,,,,,,
Huizache-Caimanero lagoon - Mexico,Scianids,Elopids,Lutjanids,Carangids,Centropomids,Ariids,Haemulids,Pleuronectoids,Callinectes,Belonoids,Clupeoids,Gerreids,Poeciliids,Gobioids,Mugilids,Palaemonids,Litopenaeus,Bivalves,Microcrustaceans,Zooplankton,Chanids,Polychaetes,Gastropods
Scianids,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elopids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lutjanids,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carangids,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropomids,0.06,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariids,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemulids,0.025,0.108,0.041,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectoids,0.01,0,0,0,0,0.006,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callinectes,0.019,0,0.028,0.018,0.019,0.074,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belonoids,0.07,0.019,0,0.026,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupeoids,0.11,0,0.162,0.101,0.11,0.089,0,0,0.025,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerreids,0.051,0,0.085,0.231,0.055,0.029,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poeciliids,0,0,0.018,0,0.002,0,0.005,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobioids,0.003,0.063,0.097,0.023,0.007,0.003,0,0.02,0,0.004,0,0.006,0,0,0,0,0,0,0,0,0,0,0
Mugilids,0.06,0.262,0.201,0.103,0.097,0.005,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palaemonids,0.033,0.007,0,0,0.022,0.011,0.103,0,0.009,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
Litopenaeus,0.035,0.134,0.094,0.103,0.2,0.075,0.095,0,0.016,0.007,0,0.007,0,0,0,0,0,0,0,0,0,0,0
Bivalves,0,0,0.047,0.082,0,0.047,0.044,0.024,0.284,0,0,0.112,0,0,0.005,0,0,0,0,0,0,0,0
Microcrustaceans,0.461,0.244,0.094,0.263,0.225,0.386,0.454,0.514,0.231,0.12,0.214,0.073,0.291,0.157,0.24,0.008,0.108,0,0.097,0.025,0,0.044,0
Zooplankton,0,0,0,0,0.042,0,0.108,0,0,0.279,0.485,0.188,0,0.133,0.027,0.105,0,0.292,0.012,0.162,0.027,0,0
Chanids,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polychaetes,0.041,0.068,0.031,0,0.11,0.042,0.074,0.185,0.079,0.035,0,0.105,0.282,0.218,0.131,0.283,0.269,0,0.173,0,0.042,0.01,0
Gastropods,0.005,0.043,0.023,0,0.025,0.041,0.052,0.047,0.09,0.154,0,0.107,0,0.047,0.116,0,0,0,0,0,0.054,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.531,0.074,0.62,0.603,0,0
Macrophytes,0,0,0,0.011,0.01,0.064,0.045,0,0.031,0.293,0.098,0.227,0.427,0.121,0.072,0.105,0.145,0,0.206,0,0.183,0.193,0.562
Detritus,0.012,0.014,0.079,0.039,0.055,0.042,0.02,0.169,0.197,0,0.103,0.175,0,0.324,0.409,0.499,0.478,0.177,0.438,0.193,0.091,0.753,0.438
